A,B,C,D,E,F,G
RTLA-905-56X76XPWI,7G2602-290.MB5476N,,"54"" Rotolo 52"" - 56"" MB",,,
RTLA-905-56X76XPOR,7G2603-290.LB5476N,,"54"" Rotolo 52"" - 56"" LB",,,
,,,,,,
,,,,,,
,,,MTO=  Made  To Order ,,,
,,,Rolaire Barn Door= Single Bypass Panel with 1 stationary panel ,,,
,,,,,,
,,,,,,
35117000,29423000,,SB VALVE AND TRIM- IN CURRENT USE,,,
,,,,,,
,,,,,,
,,,,,,
,7T3300-241.WH0854N,,LEDGE CAP- WHITE ,,,
,,,,,,
ONYX,7M1002-249.NA9999N,,LEDGE CAP,,,
,,,,,,
ONYX,7T2300-241.WH0660N,,BRL BACKSHELF- ACT- 60 X 8 X 5/8,,,
,,,,,,
,,,,,,
SUB_ProductID,OLD_ProductID,,OLD_LongDescr,,,
TU353508.243,TU018508.243,Townsend Matte Black Tub,TOWNSEND TUB MB,Shower Fixture,0,564.0
TU353508.295,TU018508.295,Townsend Brushed Nickel Tub,Townsend Tub BN,Shower Fixture,0,531.0
TU018508.278,TU353508.278,,Townsend Tub LB,,,394.0
,,,,,,
USE HIGHLIGHTED DATED 12-5,,,,,,
,,,,,,
, ,,,,,
,,,,,,
,,,,,,
TRIMMABLE BASE,,,Trimslate Bases require an additional 6 tubes of adhesive,,,
SKU,Description,,Drain Cover Type,,,
7B5102-240.WH6032C,60x32 CENTER DRAIN TRIMMABLE WHITE,,Stainless Steel Trench Drain,,,
7B5100-240.WH6032L,60X32 END DRAIN TRIMMABLE WHITE,,SMC Drain Cover,,,
7B5121-240.WH6736C,67X36 CENTER DRAIN TRIMMABLE WHITE,,Stainless Steel Trench Drain,,,
7B5124-240.WH6736N,67X36 END DRAIN TRIMMABLE WHITE,,SMC Drain Cover,,,
7B5127-240.WH7236C,72X36 CENTER DRAIN TRIMMABLE WHITE,,Stainless Steel Trench Drain,,,
7B5130-240.WH7236N,72X36 END DRAIN TRIMMABLE WHITE,,SMC Drain Cover,,,
7B5133-240.WH7940C,79X40 CENTER DRAIN TRIMMABLE WHITE,,SMC Drain Cover,,,
7B5201-240.WH0460N,"60"" Threshold",,,,,
7B5204-240.WH0480N,"80"" Threshold",,,,,
7B5136-240.WH5140C,51X40 CENTER DRAIN TRIMMABLE WHITE,,7B5136-240.WH5140C,,,
7B5138-240.WH6040C,60X40 CENTER DRAIN TRIMMABLE WHITE,,7B5138-240.WH6040C,,,
7B5141-240.WH4836C,48X35-1/2 CNTR DRAIN TRIMMABLE WHITE,,7B5141-240.WH4836C,,,
7B5143-240.WH6048C,60X48 CENTER DRAIN TRIMMABLE WHITE,,7B5143-240.WH6048C,,,
7B5145-240.WH7248C,72X48 CENTER DRAIN TRIMMABLE WHITE,,7B5145-240.WH7248C,,,
,,,,,,
,P41-0205 HW VALVE,,,,,
,P41-0204 CW VALVE,,,,,
,P41-0201 DIV VALVE ASSY,,,,,
,P41-0328 TUB FILLER,,,,,
,P41-0322 HAND SHWR HOSE ASSY,,,,,
,P41-0320 HAND SHOWER,,,,,
,P41-0338 HAND SHWR DECK MOUNT ASSY,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,"Trimslate 60"" x 31 1/2"" LH",,7B5100-240.WH6032L,,,
,"60"" THRESHOLD  WHITE",,7B5201-240.WH0460N,,,
,,,,,,
,,,,,,
,,,,,,
,Additional Trimslate Sizes at Trumbull:,,,,,
,51 x 40 Center Drain,,,,,
,60 x 40 Center Drain,,,,,
,,,,,,
,,,,,,
,,,,,,
,7018201.002,,"EDGEMERE 4"" CENTRSET CHROME",,,275.0
,7018201.295,,"EDGEMERE 4"" CENTRSET BN",,,373.0
,7018201.243,,"EDGEMERE 4"" CENTRSET MB",,,385.0
,,,,,,
,,,,,,
,,,,,,
,,,,,,
7353024.002,"Townsend 24"" Towel Bar",Townsend Towel Bar Chrome,CH,Bathroom Accessories,115,
7353024.295,"Townsend 24"" Towel Bar",Townsend Towel Bar BN,BN,Bathroom Accessories,115,124.0
7353024.243,"Townsend 24"" Towel Bar",Townsend Towel Bar MB,MB,Bathroom Accessories,115,130.0
7353190.002,Townsend Towel Ring,Townsend Towel Ring CH,CH,Bathroom Accessories,90,
7353190.295,Townsend Towel Ring,Townsend Towel Ring BN,BN,Bathroom Accessories,90,
7353190.243,Townsend Towel Ring,Townsend Towel Ring MB,MB,Bathroom Accessories,90,
7353210.002,Townsend Robe Hook,Townsend Robe Hook CH,CH,Bathroom Accessories,90,
7353210.295,Townsend Robe Hook,Townsend Robe Hook BN,BN,Bathroom Accessories,90,
7353210.243,Townsend Robe Hook,Townsend Robe Hook MB,MB,Bathroom Accessories,90,
7353230.002,Townsend Toilet Paper Holder,Townsend Toilet Paper Holder CH,CH,Bathroom Accessories,100,
7353230.295,Townsend Toilet Paper Holder,Townsend Toilet Paper Holder BN,BN,Bathroom Accessories,100,
7353230.243,Townsend Toilet Paper Holder,Townsend Toilet Paper Holder MB,MB,Bathroom Accessories,100,
7353801.002,Townsend Widespread Faucet,Townsend 8-inch Widespread CH,CH,Bathroom Accessories,445,455.0
7353801.295,Townsend Widespread Faucet,Townsend 8-inch Widespread BN,BN,Bathroom Accessories,445,633.0
7353801.243,Townsend Widespread Faucet,Townsend 8-inch Widespread MB,MB,Bathroom Accessories,445,660.0
7353101.002,Townsend Monoblock Faucet,Townsend Single hole Faucet CH,CH,Bathroom Accessories,445,333.0
7353101.295,Townsend Monoblock Faucet,Townsend Single Hole Faucet BN,BN,Bathroom Accessories,445,466.0
7353101.243,Townsend Monoblock Faucet,Townsend Single Hole Faucet MB,MB,Bathroom Accessories,445,483.0
,,,,,,
,,,MaxCost,,,
,,,,,,
,,,,,,
7617024.002,"Glenmere 24"" Towel Bar",Glenmere Towel Bar CH,CH,Bathroom Accessories,115,
7617024.295,"Glenmere 24"" Towel Bar",Glenmere Towel Bar BN,BN,Bathroom Accessories,115,
7617024.243,"Glenmere 24"" Towel Bar",Glenmere Towel Bar MB,MB,Bathroom Accessories,115,
7617190.002,Glenmere Towel Ring,Glenmere Towel Ring CH,CH,Bathroom Accessories,90,
7617190.295,Glenmere Towel Ring,Glenmere Towel Ring BN,BN,Bathroom Accessories,90,
7617190.243,Glenmere Towel Ring,Glenmere Towel Ring MB,MB,Bathroom Accessories,90,
7617210.002,Glenmere Robe Hook,Glenmere Robe Hook CH,CH,Bathroom Accessories,90,
7617210.295,Glenmere Robe Hook,Glenmere Robe Hook BN,BN,Bathroom Accessories,90,
7617210.243,Glenmere Robe Hook,Glenmere Robe Hook MB,MB,Bathroom Accessories,90,
7617230.002,Glenmere Toilet Paper Holder,Glenmere Toilet Paper Holder CH,CH,Bathroom Accessories,100,
7617230.295,Glenmere Toilet Paper Holder,Glenmere Toilet Paper Holder BN,BN,Bathroom Accessories,100,
7617230.243,Glenmere Toilet Paper Holder,Glenmere Toilet Paper Holder MB,MB,Bathroom Accessories,100,
7617807.002,Glenmere Wide Spread Faucet,Glenmere Widespread CH,CH,Bathroom Accessories,445,396.0
7617807.295,Glenmere Wide Spread Faucet,Glenmere Widespread BN,BN,Bathroom Accessories,445,477.0
7617807.243,Glenmere Wide Spread Faucet,Glenmere Widespread MB,MB,Bathroom Accessories,445,516.0
7617107.002,Glenmere Monoblock Faucet,Glenmere Single Hole CH,CH,Bathroom Accessories,445,276.0
7617107.295,Glenmere Monoblock Faucet,Glenmere Single Hole BN,BN,Bathroom Accessories,445,332.0
7617107.243,Glenmere Monoblock Faucet,Glenmere Single Hole MB,MB,Bathroom Accessories,445,359.0
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,Max Cost,,,
,,,,,,
,,,,,,
7105024.002,"Studio 24"" Towel Bar",Studio Towel Bar Chrome,CH,Bathroom Accessories,115,
7105024.295,"Studio 24"" Towel Bar",Studio Towel Bar Brushed Nickel,BN,Bathroom Accessories,115,106.0
7105024.243,"Studio 24"" Towel Bar",Studio Towel Bar Matte Black,MB,Bathroom Accessories,115,121.0
7105190.002,Studio Towel Ring,Studio Towel Ring Chrome,CH,Bathroom Accessories,90,
7105190.295,Studio Towel Ring,Studio Towel Ring Brushed Nickel,BN,Bathroom Accessories,90,
7105190.243,Studio Towel Ring,Studio Towel Ring MB,MB,Bathroom Accessories,90,
7105210.002,Studio Robe Hook,Studio Robe Hook Chrome,CH,Bathroom Accessories,90,
7105210.295,Studio Robe Hook,Studio Robe Hook Brushed Nickel,BN,Bathroom Accessories,90,
7105210.243,Studio Robe Hook,Studio Robe Hook MB,MB,Bathroom Accessories,90,
7105230.002,Studio Toilet Paper Holder,Studio Toilet Paper Holder Chrome,CH,Bathroom Accessories,100,
7105230.295,Studio Toilet Paper Holder,Studio Toilet Paper Holder BN,BN,Bathroom Accessories,100,
7105230.243,Studio Toilet Paper Holder,Studio Toilet Paper Holder MB,MB,Bathroom Accessories,100,
7105801.002,Studio Widespread Faucet,Studio S 8-Inch Widspread Faucet CH,CH,Bathroom Accessories,445,564.0
7105801.295,Studio Widespread Faucet,Studio S 8-Inch Widespread Faucet BN,BN,Bathroom Accessories,445,716.0
7105801.243,Studio Widespread Faucet,Studio S 8-inch Widespread MB,MB,Bathroom Accessories,445,766.0
7105121.002,Studio Monoblock Faucet,Studio Monoblock Faucet Chrome,CH,Bathroom Accessories,445,355.0
7105121.295,Studio Monoblock Faucet,Studio Monoblock Faucet BN,BN,Bathroom Accessories,445,422.0
7105121.243,Studio Monoblock Faucet,Studio Monoblock Faucet MB,MB,Bathroom Accessories,445,531.0
,,,,,,
,Safety Package ,,Part # ,,,
,,,,,,
FG ,7R4004-250.CH0036,,7R4004-250.CH0036,,,
FG ,7R4005-250.CH0048,,7R4005-250.CH0048,,,
,,,,,,
,,,,,,
FG ,7R4007-250.BN0036,,7R4007-250.BN0036,,,
FG ,7R4008-250.BN0048,,7R4008-250.BN0048,,,
,,,,,,
,,,,,,
FG ,7R4010-250.MB0036,,7R4010-250.MB0036,,,
FG ,7R4011-250.MB0048,,7R4011-250.MB0048,,,
,,,,,,
,,,,,,
FG ,7S1300-250.WH1611,,7S1300-250.WH1611,,,
FG ,7S1301-250.BL1611,,7S1301-250.BL1611,,,
,,,,,,
,,,,,,
FG ,1660774.002,,1660774.002,,,284.0
FG ,1660774.243,,1660774.243,,,412.0
FG ,1660774.295,,1660774.295,,,384.0
,,,,,,
,,,,,,
FG ,RU531,,RU531,,,
,,,,,,
,,,,,,
,,,,,,
FG ,TU353740.002,,TU353740.002,,,297.0
FG ,1660509.002,,1660509.002,,,116.0
FG ,1660245.002,,1660245.002,,,
,,,,,,
FG ,TU353740.295,,TU353740.295,,,414.0
FG ,1660509.295,,1660509.295,,,165.0
FG ,1660245.295,,1660245.295,,,
,,,,,,
FG ,TU353740.243,,TU353740.243,,,429.0
FG ,1660509.243,,1660509.243,,,142.0
FG ,1660245.243,,1660245.243,,,
,,,,,,
,,,,,,
,,,,,,
FG ,TU105740.002,,TU105740.002,,,297.0
FG ,9038074.002,,9038074.002,,,113.0
FG ,1660240.002,,1660240.002,,,
,,,,,,
FG ,TU105740.243,,TU105740.243,,,446.0
FG ,9038074.243,,9038074.243,,,159.0
FG ,1660240.243,,1660240.243,,,
,,,,,,
FG ,TU105740.295,,TU105740.295,,,414.0
FG ,9038074.295,,9038074.295,,,141.0
FG ,1660240.295,,1660240.295,,,
,,,,,,
,,,,,,
,,,INSERT NEW PART NUMBERS BELOW ,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
7B5201-240.WH0460N,"60"" Threshold",,,,,
7B5141-240.WH4836C,48X35-1/2 CNTR DRAIN TRIMMABLE WHITE,,7B5141-240.WH4836C,,,
